presentada,fecha,votos
ZEC,27-07-2015,1
PSOE,02-10-2015,3
ZEC,02-10-2015,3
PP,02-10-2015,1
PP,30-10-2015,1
PSOE,30-10-2015,4
ZEC,30-10-2015,2
C'S,27-11-2015,2
ZEC,27-11-2015,1
PSOE,27-11-2015,2
ZEC,27-11-2015,1
PP,23-12-2015,1
PSOE,23-12-2015,2
ZEC,23-12-2015,1
PP,28-01-2016,1
PSOE,28-01-2016,6
ZEC,28-01-2016,1
PP,26-02-2016,1
PSOE,26-02-2016,1
ZEC,23-03-2016,1
ZEC,29-04-2016,1
C'S,29-04-2016,1
PP,29-04-2016,1
ZEC,27-05-2016,2
PSOE,01-07-2016,1
C'S,22-07-2016,1
ZEC,22-07-2016,2
PSOE,30-09-2016,2
ZEC,30-09-2016,1
PSOE,30-09-2016,3
ZEC,30-09-2016,1
PSOE,30-09-2016,1
C'S,30-09-2016,1
PSOE,28-10-2016,1
C'S,28-10-2016,2
PSOE,28-10-2016,1
ZEC,28-10-2016,1
PSOE,28-10-2016,1
PP,28-10-2016,1
C'S,02-12-2016,3
PSOE,02-12-2016,3
ZEC,02-12-2016,1
PP,23-12-2016,1
ZEC,03-02-2017,2
C'S,03-02-2017,1
PP,03-02-2017,1
PSOE,03-02-2017,2
ZEC,24-02-2017,3
PSOE,31-03-2017,2
ZEC,31-03-2017,2
C'S,02-06-2017,2
PSOE,28-04-2017,1
C'S,28-04-2017,1
ZEC,28-04-2017,4
PP,02-06-2017,1
ZEC,02-06-2017,2
PSOE,31-03-2017,1
PP,30-06-2017,1
ZEC,30-06-2017,5
PP,28-07-2017,2
PSOE,28-07-2017,1
ZEC,28-07-2017,1
PSOE,28-07-2017,1
ZEC,29-09-2017,2
PSOE,29-09-2017,1
PSOE,30-10-2017,1
ZEC,30-10-2017,1
C'S,22-12-2017,1
ZEC,22-12-2017,1
PSOE,22-12-2017,1
PSOE,02-02-2018,2
ZEC,02-02-2018,1
C'S,02-03-2018,1
PSOE,02-03-2018,1
PP,02-03-2018,1
PSOE,26-03-2018,4
ZEC,26-03-2018,4
ZEC,04-05-2018,3
C'S,04-05-2018,1
PSOE,04-05-2018,3
PP,04-05-2018,1
PP,01-06-2018,1
ZEC,01-06-2018,3
PSOE,01-06-2018,1
PSOE,29-06-2018,1
PP,29-06-2018,6
PSOE,29-06-2018,1
C'S,29-06-2018,2
PSOE,29-06-2018,1
PP,27-07-2018,1
PSOE,27-07-2018,2
